ptNoList|^resultCode|^resultMsg|^rowno|^ptNo|^ptNm|^addr|^orgNm|^wmyr|^wmod|^wmwk|^wmdep|^lonDgr|^lonMin|^lonSec|^latDgr|^latMin|^latSec|^wmcymd|^itemLvl|^itemAmnt|^itemTemp|^itemPh|^itemDoc|^itemBod|^itemCod|^itemSs|^itemTcoli|^itemTn|^itemTp|^itemCd|^itemCn|^itemPb|^itemCr6|^itemAs|^itemHg|^itemCu|^itemAbs|^itemPcb|^itemOp|^itemMn|^itemTrans|^itemCloa|^itemCl|^itemZn|^itemCr|^itemFe|^itemPhenol|^itemNhex|^itemEc|^itemTce|^itemPce|^itemNo3n|^itemNh3n|^itemEcoli|^itemPop|^itemDtn|^itemDtp|^itemFl|^itemCol|^itemCcl4|^itemDceth|^itemDcm|^itemBenzene|^itemChcl3|^itemToc|^itemDehp|^itemAntimon|^itemDiox|^itemHcho|^itemHcb|^itemNi|^itemBa|^itemSe|^numOfRows|^pageNo|^totalCount
3008A40|^00|^NORMAL SERVICE|^11|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1990|^11|^1회차|^ |^127|^28|^44|^36|^22|^6|^19901120|^ |^ |^15.0|^7.2|^8.0|^1.8|^1.8|^2.0|^1600|^0.341|^0.021|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^12|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1990|^12|^1회차|^ |^127|^28|^44|^36|^22|^6|^19901213|^ |^ |^5.0|^6.8|^9.5|^1.8|^2.0|^2.2|^22|^0.315|^0.017|^0.000|^0.00|^0.00|^0.00|^0.000|^0.0000|^ |^0.0|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^13|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1991|^01|^1회차|^ |^127|^28|^44|^36|^22|^6|^19910117|^ |^ |^3.0|^6.7|^9.4|^1.7|^1.6|^1.8|^17|^0.308|^0.016|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^14|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1991|^02|^1회차|^ |^127|^28|^44|^36|^22|^6|^19910207|^ |^ |^2.0|^7.0|^9.2|^1.6|^1.4|^1.0|^17|^0.277|^0.014|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^15|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1991|^03|^1회차|^ |^127|^28|^44|^36|^22|^6|^19910308|^ |^ |^7.0|^6.8|^9.0|^1.5|^1.8|^1.4|^920|^0.238|^0.017|^0.000|^0.00|^0.00|^0.00|^0.000|^0.0000|^ |^0.1|^ |^ |^ |^ |^ |^ |^ |^ |^ |^0.000|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^16|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1991|^04|^1회차|^ |^127|^28|^44|^36|^22|^6|^19910426|^ |^ |^15.0|^7.0|^9.0|^1.6|^2.0|^1.8|^170|^0.354|^0.016|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^0.000|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^17|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1991|^05|^1회차|^ |^127|^28|^44|^36|^22|^6|^19910517|^ |^ |^20.0|^6.8|^8.7|^1.6|^1.8|^1.6|^33|^0.317|^0.015|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^0.000|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^18|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1991|^06|^1회차|^ |^127|^28|^44|^36|^22|^6|^19910617|^ |^ |^21.0|^7.1|^8.4|^1.7|^1.8|^1.8|^49|^0.358|^0.016|^0.000|^0.00|^0.00|^0.00|^0.000|^0.0000|^ |^0.1|^ |^ |^ |^ |^ |^ |^ |^ |^ |^0.000|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^19|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1991|^07|^1회차|^ |^127|^28|^44|^36|^22|^6|^19910712|^ |^ |^22.0|^6.8|^8.8|^1.6|^1.8|^1.8|^17|^0.455|^0.018|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^0.000|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^20|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^1991|^08|^1회차|^ |^127|^28|^44|^36|^22|^6|^19910819|^ |^ |^29.0|^6.9|^8.4|^1.8|^2.0|^2.0|^22|^0.462|^0.018|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^0.000|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
