ptNoList|^resultCode|^resultMsg|^rowno|^ptNo|^ptNm|^addr|^orgNm|^wmyr|^wmod|^wmwk|^wmdep|^lonDgr|^lonMin|^lonSec|^latDgr|^latMin|^latSec|^wmcymd|^itemLvl|^itemAmnt|^itemTemp|^itemPh|^itemDoc|^itemBod|^itemCod|^itemSs|^itemTcoli|^itemTn|^itemTp|^itemCd|^itemCn|^itemPb|^itemCr6|^itemAs|^itemHg|^itemCu|^itemAbs|^itemPcb|^itemOp|^itemMn|^itemTrans|^itemCloa|^itemCl|^itemZn|^itemCr|^itemFe|^itemPhenol|^itemNhex|^itemEc|^itemTce|^itemPce|^itemNo3n|^itemNh3n|^itemEcoli|^itemPop|^itemDtn|^itemDtp|^itemFl|^itemCol|^itemCcl4|^itemDceth|^itemDcm|^itemBenzene|^itemChcl3|^itemToc|^itemDehp|^itemAntimon|^itemDiox|^itemHcho|^itemHcb|^itemNi|^itemBa|^itemSe|^numOfRows|^pageNo|^totalCount
3008A40|^00|^NORMAL SERVICE|^222|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^01|^5회차|^ |^127|^28|^44|^36|^22|^6|^20050118|^ |^ |^5.0|^7.2|^11.7|^0.8|^2.3|^1.3|^2|^1.344|^0.003|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^1.8|^ |^ |^ |^ |^0.000|^ |^114|^ |^ |^1.030|^0.045|^0|^0.000|^1.187|^0.002|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^223|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^02|^1회차|^ |^127|^28|^44|^36|^22|^6|^20050126|^ |^ |^5.0|^7.5|^11.2|^1.0|^2.8|^2.3|^3|^1.250|^0.010|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^2.3|^ |^ |^ |^ |^0.000|^ |^112|^ |^ |^1.023|^0.009|^0|^0.000|^1.167|^0.002|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^224|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^02|^2회차|^ |^127|^28|^44|^36|^22|^6|^20050204|^ |^ |^3.0|^6.7|^11.7|^0.8|^2.7|^1.5|^1|^1.239|^0.008|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^1.4|^ |^ |^ |^ |^0.000|^ |^112|^ |^ |^0.987|^0.038|^0|^0.001|^1.109|^0.002|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^225|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^02|^3회차|^ |^127|^28|^44|^36|^22|^6|^20050211|^ |^ |^4.0|^6.6|^11.4|^0.7|^2.5|^1.1|^0|^1.363|^0.003|^0.000|^0.00|^0.00|^0.00|^0.000|^0.0000|^ |^0.0|^ |^ |^ |^ |^1.8|^ |^ |^ |^ |^0.000|^ |^112|^ |^ |^1.033|^0.026|^1|^0.000|^1.188|^0.002|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^226|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^02|^4회차|^ |^127|^28|^44|^36|^22|^6|^20050217|^ |^ |^4.0|^7.4|^13.6|^0.8|^2.3|^1.1|^4|^1.135|^0.010|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^2.2|^ |^ |^ |^ |^0.000|^ |^115|^ |^ |^1.023|^0.018|^0|^0.000|^1.083|^0.004|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^227|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^03|^1회차|^ |^127|^28|^44|^36|^22|^6|^20050224|^ |^ |^3.0|^6.8|^11.9|^0.9|^2.4|^1.0|^1|^1.105|^0.002|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^2.6|^ |^ |^ |^ |^0.000|^ |^110|^ |^ |^1.000|^0.019|^0|^0.000|^1.040|^0.000|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^228|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^03|^2회차|^ |^127|^28|^44|^36|^22|^6|^20050302|^ |^ |^3.0|^7.1|^12.1|^0.9|^2.5|^1.1|^0|^1.334|^0.004|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^1.8|^ |^ |^ |^ |^0.000|^ |^111|^ |^ |^1.013|^0.018|^0|^0.000|^1.126|^0.000|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^229|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^03|^3회차|^ |^127|^28|^44|^36|^22|^6|^20050309|^ |^ |^5.0|^7.0|^11.8|^0.8|^2.4|^0.9|^0|^1.286|^0.011|^0.000|^0.00|^0.00|^0.00|^0.000|^0.0000|^ |^0.0|^ |^ |^ |^ |^1.4|^ |^ |^ |^ |^0.000|^ |^112|^ |^ |^0.737|^0.016|^0|^0.000|^1.227|^0.004|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^230|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^03|^4회차|^ |^127|^28|^44|^36|^22|^6|^20050318|^ |^ |^5.0|^7.6|^11.9|^0.9|^2.8|^1.4|^0|^1.379|^0.012|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^2.5|^ |^ |^ |^ |^0.000|^ |^115|^ |^ |^0.883|^0.024|^0|^0.000|^1.015|^0.000|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^231|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^04|^1회차|^ |^127|^28|^44|^36|^22|^6|^20050324|^ |^ |^7.0|^7.0|^13.2|^0.9|^2.9|^1.8|^0|^1.354|^0.009|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^2.6|^ |^ |^ |^ |^0.000|^ |^113|^ |^ |^0.687|^0.026|^0|^0.000|^1.251|^0.000|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^232|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^04|^2회차|^ |^127|^28|^44|^36|^22|^6|^20050330|^ |^ |^7.0|^7.7|^14.3|^1.0|^3.0|^1.3|^2|^1.470|^0.011|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^2.6|^ |^ |^ |^ |^0.000|^ |^119|^ |^ |^0.733|^0.023|^0|^0.000|^1.050|^0.009|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^233|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^04|^3회차|^ |^127|^28|^44|^36|^22|^6|^20050406|^ |^ |^7.0|^7.8|^13.8|^1.1|^3.1|^1.5|^1|^1.839|^0.016|^0.000|^0.00|^0.00|^0.00|^0.000|^0.0000|^ |^0.0|^ |^ |^ |^ |^3.4|^ |^ |^ |^ |^0.000|^ |^123|^ |^ |^0.787|^0.021|^0|^0.000|^1.534|^0.009|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^234|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^04|^4회차|^ |^127|^28|^44|^36|^22|^6|^20050413|^ |^ |^9.0|^7.9|^13.9|^1.2|^3.3|^2.3|^10|^1.514|^0.045|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^4.4|^ |^ |^ |^ |^0.000|^ |^122|^ |^ |^0.730|^0.016|^0|^0.000|^1.285|^0.009|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^235|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^05|^1회차|^ |^127|^28|^44|^36|^22|^6|^20050419|^ |^ |^11.0|^8.2|^13.9|^1.2|^3.4|^2.1|^2|^1.373|^0.015|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^5.4|^ |^ |^ |^ |^0.000|^ |^121|^ |^ |^0.730|^0.021|^0|^0.000|^1.317|^0.004|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^236|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^05|^2회차|^ |^127|^28|^44|^36|^22|^6|^20050426|^ |^ |^12.0|^8.1|^13.4|^1.1|^3.3|^1.9|^6|^1.628|^0.014|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^2.9|^ |^ |^ |^ |^0.000|^ |^121|^ |^ |^1.147|^0.027|^0|^0.000|^1.357|^0.004|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^237|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^05|^3회차|^ |^127|^28|^44|^36|^22|^6|^20050502|^ |^ |^14.0|^8.1|^13.4|^1.0|^3.1|^1.3|^13|^1.574|^0.016|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^2.6|^ |^ |^ |^ |^0.000|^ |^124|^ |^ |^1.147|^0.024|^2|^0.000|^1.446|^0.006|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^238|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^05|^4회차|^ |^127|^28|^44|^36|^22|^6|^20050510|^ |^ |^15.0|^8.0|^12.2|^1.0|^3.1|^2.5|^8|^1.471|^0.017|^0.000|^0.00|^0.00|^0.00|^0.000|^0.0000|^ |^0.0|^ |^ |^ |^ |^2.1|^ |^ |^ |^ |^0.000|^ |^124|^ |^ |^1.197|^0.015|^1|^0.000|^1.312|^0.005|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^239|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^05|^5회차|^ |^127|^28|^44|^36|^22|^6|^20050516|^ |^ |^16.0|^9.2|^11.3|^1.1|^3.1|^2.0|^15|^1.449|^0.019|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^3.1|^ |^ |^ |^ |^0.000|^ |^124|^ |^ |^1.170|^0.009|^1|^0.000|^1.325|^0.005|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^240|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^06|^1회차|^ |^127|^28|^44|^36|^22|^6|^20050525|^ |^ |^17.0|^8.3|^11.3|^1.2|^3.2|^4.2|^24|^1.323|^0.017|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^3.6|^ |^ |^ |^ |^0.000|^ |^125|^ |^ |^1.147|^0.026|^7|^0.000|^1.188|^0.011|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^241|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^06|^2회차|^ |^127|^28|^44|^36|^22|^6|^20050601|^ |^ |^19.0|^8.4|^12.3|^1.1|^3.1|^1.3|^11|^1.182|^0.019|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^6.2|^ |^ |^ |^ |^0.000|^ |^127|^ |^ |^1.100|^0.018|^0|^0.002|^1.107|^0.006|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^242|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^06|^3회차|^ |^127|^28|^44|^36|^22|^6|^20050607|^ |^ |^20.0|^8.6|^10.3|^1.2|^3.2|^1.7|^3|^1.354|^0.025|^0.000|^0.00|^0.00|^0.00|^0.000|^0.0000|^ |^0.0|^ |^ |^ |^ |^6.2|^ |^ |^ |^ |^0.000|^ |^127|^ |^ |^1.047|^0.037|^0|^0.000|^1.181|^0.012|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^243|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^06|^4회차|^ |^127|^28|^44|^36|^22|^6|^20050613|^ |^ |^21.0|^8.6|^11.1|^1.2|^3.3|^1.2|^39|^1.518|^0.029|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^5.6|^ |^ |^ |^ |^0.000|^ |^128|^ |^ |^1.057|^0.029|^10|^0.002|^1.022|^0.015|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^244|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^07|^1회차|^ |^127|^28|^44|^36|^22|^6|^20050621|^ |^ |^22.0|^8.7|^10.9|^1.3|^3.3|^4.6|^36|^1.132|^0.030|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^4.5|^ |^ |^ |^ |^0.000|^ |^130|^ |^ |^1.010|^0.045|^1|^0.004|^1.058|^0.010|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^245|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^07|^2회차|^ |^127|^28|^44|^36|^22|^6|^20050628|^ |^ |^23.0|^8.6|^10.1|^1.3|^3.4|^2.7|^1|^1.267|^0.020|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^6.2|^ |^ |^ |^ |^0.000|^ |^129|^ |^ |^1.023|^0.054|^1|^0.000|^1.154|^0.009|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^246|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^07|^3회차|^ |^127|^28|^44|^36|^22|^6|^20050705|^ |^ |^20.0|^7.8|^8.1|^1.0|^3.2|^2.4|^48|^1.289|^0.025|^0.000|^0.00|^0.00|^0.00|^0.000|^0.0000|^ |^0.0|^0.0000|^0.0000|^ |^ |^5.3|^ |^ |^ |^ |^0.000|^ |^140|^0.000|^0.000|^1.030|^0.079|^38|^0.000|^1.180|^0.007|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^247|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^07|^4회차|^ |^127|^28|^44|^36|^22|^6|^20050713|^ |^ |^23.0|^7.7|^7.6|^1.2|^3.4|^4.1|^143|^1.933|^0.043|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^9.3|^ |^ |^ |^ |^0.000|^ |^126|^ |^ |^0.973|^0.025|^45|^0.004|^1.642|^0.015|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^248|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^08|^1회차|^ |^127|^28|^44|^36|^22|^6|^20050719|^ |^ |^24.0|^8.4|^8.3|^1.1|^3.3|^3.6|^56|^2.922|^0.041|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^8.8|^ |^ |^ |^ |^0.000|^ |^135|^ |^ |^1.237|^0.020|^13|^0.005|^1.262|^0.020|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^249|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^08|^2회차|^ |^127|^28|^44|^36|^22|^6|^20050726|^ |^ |^26.0|^8.1|^7.5|^1.1|^3.4|^3.7|^10|^3.015|^0.032|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^7.6|^ |^ |^ |^ |^0.000|^ |^147|^ |^ |^1.320|^0.027|^3|^0.000|^1.611|^0.010|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^250|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^08|^3회차|^ |^127|^28|^44|^36|^22|^6|^20050802|^ |^ |^25.0|^7.7|^7.2|^1.2|^3.4|^4.0|^240|^2.905|^0.014|^0.000|^0.00|^0.00|^0.00|^0.000|^0.0000|^ |^0.0|^ |^ |^ |^ |^5.7|^ |^ |^ |^ |^0.000|^ |^160|^ |^ |^1.327|^0.014|^13|^0.000|^1.428|^0.007|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^251|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^08|^4회차|^ |^127|^28|^44|^36|^22|^6|^20050810|^ |^ |^25.0|^7.5|^6.3|^1.3|^3.6|^4.5|^61|^1.797|^0.065|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^5.0|^ |^ |^ |^ |^0.000|^ |^130|^ |^ |^1.486|^0.014|^24|^0.003|^1.638|^0.023|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^252|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^08|^5회차|^ |^127|^28|^44|^36|^22|^6|^20050817|^ |^ |^26.0|^8.2|^8.0|^1.4|^3.8|^4.9|^53|^3.396|^0.054|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^3.9|^ |^ |^ |^ |^0.000|^ |^110|^ |^ |^1.363|^0.008|^15|^0.005|^1.733|^0.020|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^253|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^09|^1회차|^ |^127|^28|^44|^36|^22|^6|^20050823|^ |^ |^25.0|^7.7|^7.4|^1.4|^3.9|^5.3|^34|^2.961|^0.045|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^11.1|^ |^ |^ |^ |^0.000|^ |^110|^ |^ |^1.203|^0.005|^11|^0.005|^1.414|^0.018|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^254|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^09|^2회차|^ |^127|^28|^44|^36|^22|^6|^20050830|^ |^ |^25.0|^8.6|^9.6|^1.2|^3.7|^5.0|^30|^2.928|^0.048|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^10.0|^ |^ |^ |^ |^0.000|^ |^111|^ |^ |^1.126|^0.000|^7|^0.010|^1.357|^0.016|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^255|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^09|^3회차|^ |^127|^28|^44|^36|^22|^6|^20050905|^ |^ |^25.0|^8.1|^8.5|^1.2|^3.9|^6.9|^31|^3.608|^0.035|^0.000|^0.00|^0.00|^0.00|^0.000|^0.0000|^ |^0.0|^ |^ |^ |^ |^14.8|^ |^ |^ |^ |^0.000|^ |^107|^ |^ |^1.115|^0.020|^12|^0.007|^1.526|^0.019|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^256|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^09|^4회차|^ |^127|^28|^44|^36|^22|^6|^20050914|^ |^ |^25.0|^7.8|^5.6|^1.3|^3.9|^7.5|^10|^3.405|^0.036|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^6.2|^ |^ |^ |^ |^0.000|^ |^107|^ |^ |^1.079|^0.061|^7|^0.007|^1.559|^0.025|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^257|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^10|^1회차|^ |^127|^28|^44|^36|^22|^6|^20050922|^ |^ |^24.0|^7.2|^6.0|^1.2|^3.9|^3.0|^130|^1.482|^0.030|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^4.2|^ |^ |^ |^ |^0.000|^ |^106|^ |^ |^1.067|^0.081|^37|^0.000|^1.310|^0.015|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^258|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^10|^2회차|^ |^127|^28|^44|^36|^22|^6|^20050928|^ |^ |^24.0|^7.1|^7.1|^1.2|^4.1|^2.8|^31|^2.412|^0.028|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^9.0|^ |^ |^ |^ |^0.000|^ |^106|^ |^ |^1.100|^0.011|^6|^0.000|^1.187|^0.010|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^259|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^10|^3회차|^ |^127|^28|^44|^36|^22|^6|^20051005|^ |^ |^23.0|^7.3|^7.5|^1.2|^4.0|^3.1|^29|^2.435|^0.030|^0.000|^0.00|^0.00|^0.00|^0.000|^0.0000|^ |^0.0|^ |^ |^ |^ |^7.3|^ |^ |^ |^ |^0.000|^ |^106|^ |^ |^1.052|^0.034|^5|^0.000|^1.319|^0.009|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^260|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^10|^4회차|^ |^127|^28|^44|^36|^22|^6|^20051011|^ |^ |^22.0|^7.3|^9.1|^1.2|^3.9|^3.9|^45|^2.481|^0.025|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^10.0|^ |^ |^ |^ |^0.000|^ |^104|^ |^ |^1.067|^0.013|^13|^0.000|^1.142|^0.020|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^261|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^10|^5회차|^ |^127|^28|^44|^36|^22|^6|^20051018|^ |^ |^21.0|^7.0|^8.1|^1.1|^3.7|^2.5|^244|^1.255|^0.027|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^12.8|^ |^ |^ |^ |^0.000|^ |^104|^ |^ |^1.097|^0.023|^158|^0.000|^1.199|^0.015|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^262|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^11|^1회차|^ |^127|^28|^44|^36|^22|^6|^20051025|^ |^ |^20.0|^7.3|^9.1|^1.1|^3.6|^3.4|^53|^2.506|^0.026|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^18.7|^ |^ |^ |^ |^0.000|^ |^106|^ |^ |^1.114|^0.005|^2|^0.000|^1.163|^0.016|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^263|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^11|^2회차|^ |^127|^28|^44|^36|^22|^6|^20051102|^ |^ |^19.0|^7.8|^9.8|^1.2|^3.8|^5.6|^59|^3.223|^0.031|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^21.1|^ |^ |^ |^ |^0.000|^ |^107|^ |^ |^1.065|^0.009|^5|^0.000|^1.526|^0.009|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
3008A40|^00|^NORMAL SERVICE|^264|^3008A40|^대청댐|^대전광역시 동구 추동 추동취수탑|^금강물환경연구소|^2005|^11|^3회차|^ |^127|^28|^44|^36|^22|^6|^20051108|^ |^ |^18.0|^8.0|^10.1|^1.2|^3.6|^4.6|^63|^1.549|^0.015|^0.000|^0.00|^0.00|^0.00|^0.000|^0.0000|^ |^0.0|^ |^ |^ |^ |^26.0|^ |^ |^ |^ |^0.000|^ |^107|^ |^ |^1.040|^0.021|^0|^0.000|^1.128|^0.013|^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^ |^999|^1|^988
